period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
21,1773243104.3996882,1773243134.3996882,49,54,30,54,30,29,25,49,40,9,1.8,48650.3,291.3333333333333,1.7141086012125015,1.3870265483856201,3.589711546897888,3.984049546718598,0.8398350081179516,98511,4,0,454.29599595069885,85.29786420871524,934400,65.71782797574997,0,0,0,0.22023274217333114,3.17275071144104,5,44
22,1773243134.3996882,1773243164.3996882,60,46,17,48,12,12,36,60,46,14,1.6,28623.3,202.56666666666666,2.944928435718312,2.8656928539276123,4.528938245773316,4.542729749679565,0.8426430009694981,100131,3,0,245.14928150177002,92.29090309742861,540160,41.10143128563376,0,0,0,0.0528878507942989,0.15187859535217285,15,45
23,1773243164.3996882,1773243194.3996882,59,52,18,53,10,10,43,59,43,16,1.7666666666666666,26155.566666666666,226.0,11.294496774673462,10.836997509002686,14.361602807044981,14.59092369556427,0.906137773424747,104413,5,0,456.26747703552246,86.29827396289723,294400,0.0,0,0,0,0.050960666728469564,0.2564992904663086,21,38
24,1773243194.3996882,1773243224.3996882,3,51,21,57,0,0,57,3,0,3,1.9,32651.5,507.8,11.923651649838401,11.97431230545044,13.390643119812012,13.582333946228028,0.8654462242562929,107509,0,0,434.64923882484436,73.16980007254047,526848,0.0,57,222,0,0.0,0.0,0,3
25,1773243224.3996882,1773243254.3996882,0,25,0,3,0,0,3,0,0,0,0.1,0.0,35.5,0.0,0.0,0.0,0.0,0.0,107533,0,0,0.0,100.0,0,0.0,86,247,0,0.0,0.0,0,0
26,1773243254.3996882,1773243284.3996882,71,40,29,29,29,29,0,71,71,0,0.9666666666666667,48067.26666666667,148.4,5.617566330679532,5.788554430007935,10.206259870529175,10.867076082229612,0.7759815242494227,106209,0,0,527.7302813529968,84.15224380321331,1291264,0.0,0,0,0,39.07525418519974,76.1793417930603,27,44
27,1773243284.3996882,1773243314.3996882,11,58,23,60,0,0,60,11,0,11,2.0,30805.033333333333,446.53333333333336,16.946351072062615,16.804024696350098,17.938674426078798,18.51992772579193,0.708038808038808,109996,0,0,697.5978906154633,66.29961881084718,1078528,0.0,42,218,0,0.0,0.0,0,11
28,1773243314.3996882,1773243344.3996882,0,32,0,11,0,0,11,0,0,0,0.36666666666666664,0.0,277.2,0.0,0.0,0.0,0.0,0.0,110490,0,0,0.0,100.0,0,0.0,79,184,0,0.0,0.0,0,0
29,1773243344.3996882,1773243374.3996882,52,44,26,26,26,26,0,52,52,0,0.8666666666666667,40739.166666666664,157.5,1.1048285044156587,0.6402406692504883,3.4436630606651306,3.575755536556244,0.9209326696358396,111494,0,0,421.82340908050537,85.35335385137134,386304,77.90342991168681,15,0,0,28.844271008784954,63.18707227706909,3,49
30,1773243374.3996882,1773243404.3996882,69,47,18,56,17,17,39,69,56,13,1.8666666666666667,29225.866666666665,240.6,6.253551880518596,6.136582732200623,12.571859395503997,13.066861732006071,0.9619458038127237,111219,5,0,340.2273008823395,90.22335342292128,133376,0.0,0,0,0,18.336193455232156,95.38357853889465,29,40
31,1773243404.3996882,1773243434.3996882,10,49,28,59,0,0,59,10,0,10,1.9666666666666666,35285.1,495.26666666666665,14.041293825422015,14.165769934654236,15.088018834590912,15.306064889431,0.8579208519908024,115431,0,0,686.9429223537445,61.18966540374324,601088,0.0,57,269,0,0.0,0.0,0,10
32,1773243434.3996882,1773243464.3996882,0,32,0,10,0,0,10,0,0,0,0.3333333333333333,0.0,236.23333333333332,0.0,0.0,0.0,0.0,0.0,115582,0,0,0.0,100.0,0,0.0,84,219,0,0.0,0.0,0,0
33,1773243464.3996882,1773243494.3996882,57,56,41,42,42,42,0,57,57,0,1.4,67357.8,236.43333333333334,1.5386724244980585,1.626875400543213,2.805630564689635,3.1663068413734434,0.9454533929194003,116377,0,0,558.117928981781,83.53634427782357,440576,69.22655151003883,3,0,0,39.2294534553181,70.9861581325531,15,42
34,1773243494.3996882,1773243524.3996882,63,59,38,74,28,28,46,63,52,11,2.466666666666667,68151.63333333333,365.6,3.7694809843854205,3.517719268798828,5.505221843719482,5.6143756866455075,0.8481393309109134,119760,6,0,596.1967468261719,83.71047139819203,1241088,24.61038031229159,0,0,0,3.4040603071451185,89.3565993309021,4,59
35,1773243524.3996882,1773243554.3996882,41,85,36,85,36,36,49,41,27,14,2.8333333333333335,60176.933333333334,424.23333333333335,4.112602539551564,4.793145179748535,7.305184984207154,7.833841505050659,0.8722860791826309,122184,4,0,577.6424458026886,84.71845381474368,921600,17.747949208968716,0,0,0,0.050588520746382454,0.2747218608856201,2,39
36,1773243554.3996882,1773243584.3996882,60,69,36,65,36,36,29,60,48,12,2.1666666666666665,57484.6,333.7,3.7062070244236995,3.6209583282470703,5.087154245376587,5.382725613117219,0.8392499071667285,126684,3,0,576.0270962715149,85.1155789077128,1108224,25.875859511526013,0,0,0,0.0470574696858724,0.10046029090881348,10,50
37,1773243584.3996882,1773243614.3996882,71,62,30,69,23,23,46,71,57,14,2.3,39627.63333333333,359.1,2.505677338569395,2.5687146186828613,3.4837933778762817,4.0231452703475945,0.8466221312358582,128135,4,0,484.49962997436523,87.85715213096829,728832,49.8864532286121,0,0,0,0.04539539515972137,0.15224599838256836,26,45
38,1773243614.3996882,1773243644.3996882,75,64,29,58,11,11,47,75,51,24,1.9333333333333333,34517.566666666666,264.6333333333333,10.39695301549188,9.86456823348999,12.473961210250854,12.73369029045105,0.8567982184832365,128550,6,0,614.0243730545044,85.27519489077928,592640,0.0,0,0,0,0.06045779489701794,0.29213953018188477,26,49
39,1773243644.3996882,1773243674.3996882,6,57,25,69,0,0,69,6,0,6,2.3,34422.6,503.0,10.35000623703003,10.02292251586914,13.376279687881466,13.817284460067748,0.8336537865161571,133776,0,0,517.4996185302734,72.61906780263104,686592,0.0,76,312,0,0.0,0.0,0,6
40,1773243674.3996882,1773243704.3996882,0,42,0,6,0,0,6,0,0,0,0.2,0.0,218.76666666666668,0.0,0.0,0.0,0.0,0.0,133825,0,0,0.0,100.0,0,0.0,97,273,0,0.0,0.0,0,0
41,1773243704.3996882,1773243734.3996882,83,56,39,42,42,42,0,83,83,0,1.4,59410.833333333336,215.16666666666666,1.782052369344802,0.7487697601318359,9.774966561794256,10.944814834594723,0.9514193316564858,133797,0,0,603.885728597641,85.51832785137552,346112,64.35895261310395,0,0,0,38.67280153465271,67.99535274505615,38,45
42,1773243734.3996882,1773243764.3996882,70,71,30,64,2,2,62,70,49,21,2.1333333333333333,47015.5,347.5,18.39802009264628,18.29688322544098,21.630874919891358,21.67506497144699,0.8243813847900113,136971,2,0,874.0077047348022,79.33787932069025,990208,0.0,0,0,0,0.058727086759081074,0.10827994346618652,15,55
