period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
11,64000,96,1664000,1773209620.7859614,1773209652.010622,31.223426580429077,9,132,123,7872000,123,252118.38872720618,3.9393498238625964,1.9458926983965121,1.8679425716400146,2.7836058139801025,4.024221653938294,1.9458928689724062,1.8679430484771729,2.7836060762405395,4.024221706390381,0,0,0,0,1412.2508759493944,1.9458926983965121,RAMP_UP,11
12,64000,96,1664000,1773209652.0106356,1773209683.4158807,31.40398073196411,11,142,131,8384000,131,266972.5240108322,4.1714456876692525,2.270116378332822,2.332127809524536,3.432963490486145,3.7304936647415157,2.270116551231792,2.3321282863616943,3.432963728904724,3.730493831634521,0,0,0,0,1191.7446827191823,2.270116378332822,RAMP_DOWN,9
13,64000,96,1664000,1773209683.415893,1773209715.0308125,31.61374855041504,9,131,122,7808000,122,246981.15086062747,3.8590804821973044,2.050759442517015,1.9458750486373901,2.992308294773102,3.2499516391754146,2.0507596203538236,1.9458751678466797,2.992308533191681,3.249951827526092,0,0,0,0,1233.585245206425,2.050759442517015,RAMP_DOWN,7
14,64000,96,1920000,1773209715.0308244,1773209747.0061934,31.97417187690735,7,132,125,8000000,125,250201.94520746372,3.9094053938666207,1.543725429534912,1.3024635314941406,2.7942907810211177,3.0197130870819096,1.5437256202697753,1.3024637699127197,2.794291019439697,3.0197130870819096,0,0,0,0,1318.4667738229048,1.543725429534912,RAMP_UP,11
15,64000,96,1920000,1773209747.0062048,1773209778.5361402,31.528705835342407,11,141,130,8320000,130,263886.5053152171,4.123226645550267,2.304805999535781,2.3726184368133545,3.0614232301712034,3.634479067325592,2.304806168262775,2.372618556022644,3.0614234685897825,3.6344791364669797,0,0,0,0,1232.5826725222785,2.304805999535781,RAMP_DOWN,9
16,64000,96,1920000,1773209778.5361505,1773209809.8444867,31.306885480880737,9,128,119,7616000,119,243269.16852368234,3.8010807581825365,2.076863519283904,1.9484350681304932,3.1834303855896,4.001028876304626,2.0768637096180633,1.9484353065490723,3.1834304094314576,4.001029114723205,0,0,0,0,1294.8905190810847,2.076863519283904,RAMP_DOWN,7
17,64000,96,2176000,1773209809.8445008,1773209841.192568,31.346909046173096,7,127,120,7680000,120,245000.2323574417,3.828128630585027,1.6151991744836172,1.3876433372497559,2.7007148623466493,2.8808604216575624,1.6151993254820505,1.3876433372497559,2.7007151007652284,2.8808606147766116,0,0,0,0,1261.5391036459075,1.6151991744836172,RAMP_UP,11
18,64000,96,2176000,1773209841.1925797,1773209872.9182787,31.7244873046875,11,137,126,8064000,126,254188.50500409794,3.9716953906890304,2.387158757164365,2.456065058708191,2.9931069016456604,3.5530346035957336,2.387158929355561,2.4560651779174805,2.9931071400642395,3.553034782409668,0,0,0,0,1088.853555261002,2.387158757164365,RAMP_DOWN,9
19,64000,96,2432000,1773209872.9182904,1773209904.6070573,31.687517404556274,9,131,122,7808000,122,246406.17629695742,3.85009650463996,2.0535311464403496,1.9445810317993164,3.0278295516967773,3.897638411521907,2.0535313301399105,1.944581389427185,3.0278297901153564,3.897638599872584,0,0,0,0,1330.1250088221852,2.0535311464403496,RAMP_DOWN,7
20,64000,96,2432000,1773209904.6070695,1773209935.5106068,30.9023756980896,7,122,115,7360000,115,238169.39098488144,3.7213967341387724,1.6593644308007283,1.397087812423706,2.8011814832687376,2.963916893005371,1.6593646153159765,1.3970880508422852,2.8011816501617433,2.9639171314239503,0,0,0,0,1187.6544644536832,1.6593644308007283,RAMP_UP,11
