period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
15,64000,96,2944000,1773169726.6447303,1773169766.6239192,39.97811198234558,11,45,34,2176000,34,54429.78400182896,0.8504653750285774,7.3090347893097825,8.08936321735382,9.703423380851746,10.664166281223299,7.309034999679117,8.0893634557724,9.703423702716828,10.66416659832001,0,0,0,0,2061.92674283961,7.3090347893097825,RAMP_DOWN,9
16,64000,96,2944000,1773169766.623932,1773169804.6789901,38.053948640823364,9,53,44,2816000,44,74000.20498737581,1.156253202927747,5.526455505327745,5.5148574113845825,8.118671655654907,9.404300818443298,5.526455694978887,5.514857649803162,8.118671894073486,9.404301056861877,0,0,0,0,2001.6448701558975,5.526455505327745,RAMP_DOWN,7
17,64000,96,3328000,1773169804.679004,1773169841.0516853,36.37149429321289,7,35,28,1792000,28,49269.353234530055,0.7698336442895322,5.885938218661717,6.360278129577637,9.120361149311066,9.324130680561066,5.885938431535449,6.360278367996216,9.120361387729645,9.324131093025208,0,0,0,0,2283.118941763603,5.885938218661717,RAMP_DOWN,5
18,64000,96,3328000,1773169841.0517051,1773169875.5413682,34.4885835647583,5,38,33,2112000,33,61237.65552836792,0.9568383676307487,4.056929544969038,4.69907546043396,6.298503351211548,6.6322057342529295,4.056929747263591,4.69907546043396,6.298503589630127,6.632205972671509,0,0,0,0,2377.1439373018998,4.056929544969038,PLATEAU_RAMP_DOWN,1
19,64000,96,3712000,1773169875.541381,1773169907.2497127,31.707294940948486,1,23,22,1408000,22,44406.184842392024,0.6938466381623754,1.2299979491667314,1.6716175079345703,1.7773640751838684,1.861157133579254,1.2299981225620618,1.6716176271438599,1.7773640751838684,1.8611573219299316,0,0,0,0,2948.8741037102677,1.2299979491667314,PLATEAU_RAMP_DOWN,1
20,64000,96,3712000,1773169907.249726,1773169938.7098935,31.459033250808716,1,28,27,1728000,27,54928.57921676848,0.8582590502620074,1.0597286224365234,1.6636574268341064,1.69932382106781,1.900501418113708,1.0597288608551025,1.6636576652526855,1.6993240594863892,1.9005016565322872,0,0,0,0,2825.813609523061,1.0597286224365234,PLATEAU_RAMP_DOWN,1
21,64000,96,3712000,1773169938.7099075,1773169969.7334006,31.022447109222412,1,23,22,1408000,22,45386.49046745984,0.7091639135540599,1.290013855153864,1.671011209487915,1.6859582662582397,2.12265768289566,1.2900141044096514,1.6710114479064941,1.6859582901000976,2.1226582479476925,0,0,0,0,2809.417669099437,1.290013855153864,PLATEAU_RAMP_DOWN,1
22,64000,96,4096000,1773169969.733414,1773170000.9320748,31.197216510772705,1,19,18,1152000,18,36926.371287073096,0.5769745513605171,1.4795730776256986,1.6821345090866089,1.7404659390449522,1.8310668587684629,1.479573302798801,1.6821348667144775,1.7404663801193236,1.8310671377182004,0,0,0,0,2798.9050397252126,1.4795730776256986,PLATEAU_RAMP_DOWN,1
23,64000,96,4096000,1773170000.9320927,1773170032.5123763,31.57926034927368,1,28,27,1728000,27,54719.45767215361,0.8549915261274001,1.0633903521078605,1.6711931228637695,1.6981114149093628,1.700701389312744,1.0633905816961218,1.6711933612823486,1.698111653327942,1.7007016277313232,0,0,0,0,2819.5671322886656,1.0633903521078605,RAMP_UP,21
24,64000,96,4096000,1773170032.5123894,1773170086.6685822,54.15514278411865,21,53,33,2112000,33,38999.066227545016,0.6093604098053909,12.822441679058652,12.98354434967041,21.635048913955686,22.37254560470581,12.822441917477231,12.98354458808899,21.635049247741698,22.3725457572937,0,0,0,0,2098.8613095605165,12.822441679058652,RAMP_DOWN,17
25,64000,96,4480000,1773170086.668596,1773170135.410444,48.74075698852539,17,42,25,1600000,25,32826.73677753249,0.5129177621489451,11.859666013717652,13.59263300895691,18.261667966842648,18.630156736373902,11.859666223526,13.592633247375488,18.261668205261227,18.63015697479248,0,0,0,0,2236.585572121899,11.859666013717652,RAMP_DOWN,13
26,64000,96,4864000,1773170135.4104586,1773170181.1836126,45.7721152305603,13,36,23,1472000,23,32159.31779830008,0.5024893405984387,12.117287863855777,14.880622625350952,17.021099185943605,17.980728678703308,12.117288102274356,14.880622863769531,17.021099424362184,17.98072910308838,0,0,0,0,2393.9816270596148,12.117287863855777,RAMP_DOWN,9
27,64000,96,4864000,1773170181.1836264,1773170219.7972083,38.612544775009155,9,37,28,1792000,28,46409.78755587795,0.7251529305605929,7.7406343051365445,8.012397170066833,9.81577033996582,9.942699439525605,7.740634518010276,8.012397408485413,9.815770733356477,9.942699742317199,0,0,0,0,2204.3786785020343,7.7406343051365445,RAMP_DOWN,5
28,64000,96,5248000,1773170219.797222,1773170255.4771974,35.67898654937744,5,33,28,1792000,28,50225.641850000036,0.7847756539062506,4.701402834483555,4.7877116203308105,6.329088246822357,6.608023328781128,4.701403055872236,4.7877117395401,6.329088652133941,6.608023393154144,0,0,0,0,2170.6118581716028,4.701402834483555,RAMP_UP,7
29,64000,96,5248000,1773170255.4772103,1773170294.164796,38.68657469749451,7,34,27,1728000,27,44666.657968866704,0.6979165307635422,6.760223635920772,6.588904619216919,9.250654077529907,9.257495608329773,6.760223874339351,6.588904619216919,9.250654482841492,9.257496085166931,0,0,0,0,2236.282043582072,6.760223635920772,RAMP_DOWN,5
30,64000,96,5632000,1773170294.164809,1773170329.613951,35.448129653930664,5,26,21,1344000,21,37914.55326757897,0.5924148948059215,6.209806181135631,6.232101678848267,8.165762424468994,8.268245029449464,6.209806385494414,6.232101678848267,8.165762662887573,8.268245267868043,0,0,0,0,2691.6366168827344,6.209806181135631,RAMP_DOWN,3
31,64000,96,5632000,1773170329.6139631,1773170360.970581,31.35558843612671,3,28,25,1600000,25,51027.58646227609,0.7973060384730639,3.429915542602539,3.177426338195801,4.664142513275146,4.7042225742340085,3.4299157524108885,3.177426815032959,4.664142751693725,4.704222812652588,0,0,0,0,2414.4132462119424,3.429915542602539,RAMP_UP,9
32,64000,96,5632000,1773170360.9705963,1773170400.2714496,39.29982542991638,9,32,23,1472000,23,37455.6371153614,0.585244329927522,9.216667672862178,11.921454668045044,14.138769960403442,14.152452220916748,9.216667880182682,11.921454668045044,14.138770198822021,14.152452273368835,0,0,0,0,2569.92423667404,9.216667672862178,RAMP_DOWN,5
33,64000,96,6016000,1773170400.2714615,1773170436.214953,35.94243550300598,5,36,31,1984000,31,55199.375674864095,0.8624902449197515,4.368273065936181,4.678313970565796,6.193605065345764,6.83308708667755,4.368273273591073,4.678314208984375,6.193605184555054,6.8330873250961295,0,0,0,0,2255.2075035240728,4.368273065936181,RAMP_UP,7
34,64000,96,6016000,1773170436.2149658,1773170475.0478203,38.831835985183716,7,34,27,1728000,27,44499.569905974015,0.695305779780844,6.830382170500578,7.604303359985352,9.894996190071105,10.38158459186554,6.830382408919157,7.604303598403931,9.894996428489684,10.381585006713866,0,0,0,0,2641.7411195562286,6.830382170500578,RAMP_DOWN,5
35,64000,96,6400000,1773170475.0478325,1773170510.7112246,35.662302017211914,5,35,30,1920000,30,53838.36408186265,0.841224438779104,4.410468482971192,4.339044213294983,7.481498491764068,7.6071168279647825,4.410468689600626,4.339044570922852,7.481498730182647,7.607117066383362,0,0,0,0,2270.1730840261866,4.410468482971192,RAMP_UP,7
36,64000,96,6400000,1773170510.711238,1773170547.453603,36.741122245788574,7,31,24,1536000,24,41806.0175115109,0.6532190236173578,7.34493288397789,7.671312212944031,9.177733945846558,9.202320458889007,7.344933092594147,7.67131233215332,9.177734184265137,9.202320697307586,0,0,0,0,2406.951725841882,7.34493288397789,RAMP_DOWN,5
37,64000,96,6400000,1773170547.4536161,1773170582.5776877,35.123069286346436,5,29,24,1536000,24,43731.94117739297,0.6833115808967651,5.484631826480229,6.04235577583313,7.1443406343460065,7.412903389930725,5.4846320648988085,6.042356014251709,7.144341075420377,7.4129036831855775,0,0,0,0,2378.315178273839,5.484631826480229,RAMP_DOWN,3
38,64000,96,6720000,1773170582.5776994,1773170616.3344164,33.75562596321106,3,26,23,1472000,23,43607.54564599914,0.6813679007187365,3.373944852663123,3.1956703662872314,4.528173041343689,4.5700410461425784,3.3739450807156772,3.1956706047058105,4.528173279762268,4.570041098594666,0,0,0,0,2522.5716968022384,3.373944852663123,RAMP_UP,9
39,64000,96,6720000,1773170616.3344295,1773170659.369749,43.034292459487915,9,35,26,1664000,26,38666.837652006805,0.6041693383126063,8.570379238862257,9.342796206474304,10.8176811337471,10.933259189128876,8.570379532300509,9.342796564102173,10.81768137216568,10.93325960636139,0,0,0,0,2414.73005687449,8.570379238862257,RAMP_DOWN,5
40,64000,96,7040000,1773170659.3697617,1773170693.9297645,34.55895519256592,5,34,29,1856000,29,53705.327306864005,0.8391457391697501,4.774434698039088,4.717503786087036,7.338540935516358,7.387369556427002,4.774434887129685,4.717504024505615,7.33854112625122,7.3873697280883786,0,0,0,0,2294.9468677785594,4.774434698039088,RAMP_UP,7
41,64000,96,7040000,1773170693.9297764,1773170729.9740405,36.04318332672119,7,35,29,1856000,29,51493.78686049699,0.8045904196952656,6.53852156935067,6.38651180267334,9.792865657806393,10.387814331054686,6.538521766662598,6.386512279510498,9.792865896224972,10.387814741134644,0,0,0,0,2216.720090146271,6.53852156935067,RAMP_DOWN,5
42,64000,96,7360000,1773170729.9740546,1773170764.9378586,34.96274280548096,5,27,22,1408000,22,40271.4400249878,0.6292412503904343,5.743531823158264,6.017258405685425,7.4474295496940615,7.573200025558472,5.743531985716387,6.017258524894714,7.447429788112641,7.573200263977051,0,0,0,0,2390.8443911148447,5.743531823158264,RAMP_DOWN,3
43,64000,96,7360000,1773170764.9378731,1773170796.552005,31.61312174797058,3,23,20,1280000,20,40489.516037187,0.6326486880810469,4.009353959560395,4.355276584625244,4.470891320705414,4.478655116558075,4.0093541741371155,4.355276942253113,4.470891547203064,4.478655161857605,0,0,0,0,2681.491723023594,4.009353959560395,RAMP_UP,7
44,64000,96,7360000,1773170796.552018,1773170833.7329097,37.179863691329956,7,33,26,1664000,26,44755.40883674706,0.6993032630741729,7.077183237442603,7.534512400627136,10.196791350841522,10.415634274482727,7.077183494201074,7.534512519836426,10.196791589260101,10.415634512901306,0,0,0,0,2453.1132510017314,7.077183237442603,RAMP_DOWN,5
45,64000,96,7680000,1773170833.7329214,1773170869.1668952,35.43255400657654,5,31,26,1664000,26,46962.46281572447,0.733788481495695,5.2689976050303535,5.241800427436829,7.400604665279388,7.486567735671997,5.26899778842926,5.241800665855408,7.400604724884033,7.486567735671997,0,0,0,0,2271.7808033614174,5.2689976050303535,RAMP_DOWN,3
46,64000,96,7680000,1773170869.1669106,1773170902.8759093,33.70800423622131,3,28,25,1600000,25,47466.47083545522,0.7416636068039878,3.291136178970337,3.073317050933838,4.4823473453521725,4.520489873886108,3.2911363887786864,3.073317289352417,4.482347393035888,4.520490055084228,0,0,0,0,2665.427537921737,3.291136178970337,RAMP_UP,9
47,64000,96,8000000,1773170902.8759227,1773170943.1462476,40.269298791885376,9,32,23,1472000,23,36553.901959093,0.5711547181108281,9.087889360344928,10.568454027175903,12.057682275772095,12.17233078479767,9.087889578031456,10.568454027175903,12.057682752609253,12.172331075668335,0,0,0,0,2404.5524744807767,9.087889360344928,RAMP_DOWN,5
48,64000,96,8000000,1773170943.1462598,1773170979.7863874,36.63908314704895,5,29,24,1536000,24,41922.44641699543,0.6550382252655537,5.657766252756119,6.048243999481201,7.5472575426101685,7.575086827278137,5.65776652097702,6.04824435710907,7.547257781028748,7.575087249279022,0,0,0,0,2448.56981280552,5.657766252756119,RAMP_DOWN,3
49,64000,96,8000000,1773170979.7864003,1773171008.088025,28.300562620162964,3,27,24,1536000,24,54274.53936571792,0.8480396775893426,3.082648972670237,3.071505308151245,4.346918845176697,4.5068772149086,3.082649221022924,3.071505546569824,4.346919083595276,4.506877453327179,0,0,0,0,2414.0996607023035,3.082648972670237,RAMP_UP,9
