period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
11,128000,96,1664000,1773211719.9445357,1773211752.7579112,32.812206983566284,7,57,50,6400000,50,195049.3608432187,1.5238231315876458,3.845129871368408,3.687317728996277,5.839479720592498,6.63118358850479,3.8451300573349,3.687317967414856,5.839479827880859,6.631183826923369,0,0,0,0,2276.1806377558014,3.845129871368408,RAMP_DOWN,3
12,128000,96,1664000,1773211752.7579217,1773211783.8914433,31.13219165802002,3,49,46,5888000,46,189128.9911316983,1.4775702432163929,1.8027565323788186,1.4230047464370728,3.467702567577362,5.367813837528228,1.8027567345163096,1.4230049848556519,3.467702805995941,5.3678139448165885,0,0,0,0,2640.822290146465,1.8027565323788186,RAMP_UP,5
13,128000,96,1664000,1773211783.8914573,1773211815.6314826,31.738825798034668,5,54,49,6272000,49,197612.85562077645,1.543850434537316,2.8203808872067198,2.4286656379699707,4.242937660217284,5.419296874999998,2.82038106237139,2.42866587638855,4.242937898635863,5.419296998977659,0,0,0,0,2215.4747754280797,2.8203808872067198,RAMP_DOWN,3
14,128000,96,1920000,1773211815.631496,1773211846.2098725,30.57729411125183,3,55,52,6656000,52,217677.86174221104,1.7006082948610237,1.5475712281007032,1.4248028993606567,2.7038710474967957,3.156645827293396,1.5475714069146376,1.4248030185699463,2.7038713097572327,3.1566460657119753,0,0,0,0,2656.4965592350627,1.5475712281007032,RAMP_UP,7
15,128000,96,1920000,1773211846.2098832,1773211879.3408084,33.1297881603241,7,60,53,6784000,53,204770.4007997386,1.599768756247958,3.636060557275448,3.530539035797119,5.451435947418212,6.508724775314331,3.636060728217071,3.5305392742156982,5.451436090469359,6.508724889755249,0,0,0,0,2184.5964037846607,3.636060557275448,RAMP_DOWN,3
16,128000,96,2176000,1773211879.340824,1773211909.991998,30.65009093284607,3,53,50,6400000,50,208808.5159036661,1.6313165304973913,1.6278373956680299,1.4095135927200317,2.945810580253601,3.3832585787773124,1.6278375816345214,1.4095138311386108,2.94581081867218,3.3832587003707877,0,0,0,0,2691.3245426964,1.6278373956680299,RAMP_UP,7
17,128000,96,2176000,1773211909.9920123,1773211942.7374654,32.74408984184265,7,56,49,6272000,49,191546.0173208176,1.4964532603188874,3.9074538240627366,3.752046823501587,5.992920017242431,6.053573846817017,3.9074540235558333,3.752047061920166,5.992920207977295,6.053574085235596,0,0,0,0,2188.2132728835018,3.9074538240627366,RAMP_DOWN,3
18,128000,96,2176000,1773211942.7374814,1773211973.664518,30.925930500030518,3,51,48,6144000,48,198668.23408899328,1.55209557882026,1.7172231376171112,1.4891034364700317,3.1199728846549983,3.9415929293632512,1.7172233213980992,1.4891034364700317,3.1199731230735774,3.9415931677818303,0,0,0,0,2573.983885194239,1.7172231376171112,RAMP_UP,5
19,128000,96,2432000,1773211973.66453,1773212005.295601,31.629876852035522,5,56,51,6528000,51,206387.14562620546,1.61239957520473,2.6287657326343012,2.3501880168914795,4.627939462661743,5.222481369972229,2.6287659289790133,2.3501880168914795,4.627939701080322,5.222481608390808,0,0,0,0,2226.73794308729,2.6287657326343012,RAMP_DOWN,3
20,128000,96,2432000,1773212005.2956161,1773212037.0741367,31.77730083465576,3,58,55,7040000,55,221541.78659259508,1.730795207754649,1.471727366880937,1.3890867233276367,1.9930182933807372,3.0885987043380743,1.471727566285567,1.3890869617462158,1.993018364906311,3.0885989427566534,0,0,0,0,2628.1852677921147,1.471727366880937,RAMP_UP,7
21,128000,96,2432000,1773212037.0741494,1773212069.8836267,32.808056592941284,7,61,54,6912000,54,210679.95845529996,1.645937175432031,3.532261574709857,3.596635103225708,4.831151139736176,5.1716092944145196,3.5322617910526417,3.5966354608535767,4.831151378154755,5.171609532833099,0,0,0,0,2115.291094479843,3.532261574709857,RAMP_DOWN,3
22,128000,96,2688000,1773212069.8836458,1773212101.1886275,31.303474187850952,3,52,49,6272000,49,200361.14721203045,1.565321462593988,1.7032694281363974,1.4102067947387695,3.3461217403411836,4.024685916900633,1.7032696373608647,1.4102070331573486,3.3461218357086153,4.024686040878294,0,0,0,0,2603.467033846659,1.7032694281363974,RAMP_UP,5
23,128000,96,2688000,1773212101.1886456,1773212132.9949892,31.804905652999878,5,56,51,6528000,51,205251.35559973816,1.6035262156229544,2.7078388952741435,2.4198906421661377,3.7566704750061035,4.0309154987335205,2.707839100968604,2.419890880584717,3.756670594215393,4.03091561794281,0,0,0,0,2232.1214265205103,2.7078388952741435,RAMP_DOWN,3
24,128000,96,2688000,1773212132.9950058,1773212164.2200654,31.223653554916382,3,52,49,6272000,49,200873.35356090736,1.5693230746945888,1.7052353206945925,1.452639102935791,3.108938217163085,4.162494258880614,1.7052355201876894,1.4526393413543701,3.108938455581664,4.162494258880614,0,0,0,0,2533.9933485461997,1.7052353206945925,RAMP_UP,5
25,128000,96,2944000,1773212164.2200818,1773212197.1174893,32.895976305007935,5,58,53,6784000,53,206225.82947833757,1.6111392927995123,2.49357111948841,2.3008813858032227,3.641238212585449,4.211754922866821,2.493571290430033,2.3008813858032227,3.6412383556365966,4.2117551612854,0,0,0,0,2140.310571410217,2.49357111948841,RAMP_DOWN,3
26,128000,96,2944000,1773212197.117506,1773212228.0478358,30.92899513244629,3,58,56,7168000,56,231756.640308057,1.8105987524066953,1.497096530028752,1.4193741083145142,2.082895576953888,2.904308903217318,1.497096734387534,1.4193742275238037,2.082895815372467,2.9043090343475364,0,0,0,0,2560.2410477075623,1.497096530028752,RAMP_UP,7
27,128000,96,3200000,1773212228.047851,1773212260.19113,32.142130851745605,7,57,50,6400000,50,199115.6102723794,1.555590705252964,3.749168887138367,3.5997248888015747,5.965302896499634,6.805928487777707,3.7491690635681154,3.5997250080108643,5.965303027629852,6.805928726196286,0,0,0,0,2289.311159211845,3.749168887138367,RAMP_DOWN,3
28,128000,96,3200000,1773212260.1911435,1773212290.7445421,30.552058935165405,3,53,50,6400000,50,209478.5170970459,1.636550914820671,1.6263831233978272,1.4205952882766724,2.9843105554580682,3.7452893114089956,1.6263833093643187,1.4205952882766724,2.9843107938766473,3.7452895498275747,0,0,0,0,2679.379119957631,1.6263831233978272,RAMP_UP,7
29,128000,96,3200000,1773212290.7445586,1773212323.453112,32.7073130607605,7,55,48,6144000,48,187847.89776482916,1.467561701287728,3.976432974139849,3.7789031267166138,5.968076419830322,6.235205621719361,3.9764331678549447,3.778903365135193,5.9680765748023985,6.235205733776093,0,0,0,0,2199.648321070508,3.976432974139849,RAMP_DOWN,3
30,128000,96,3456000,1773212323.4531257,1773212356.2608137,32.806360483169556,3,55,52,6656000,52,202887.48590123816,1.5850584836034232,1.5495490569334764,1.4085818529129028,2.668283605575561,4.310938498973846,1.549549244917356,1.408582091331482,2.66828384399414,4.3109387373924255,0,0,0,0,2604.9522030687535,1.5495490569334764,RAMP_UP,7
31,128000,96,3456000,1773212356.2608294,1773212390.430447,34.16835641860962,7,64,57,7296000,57,213530.90299732037,1.6682101796665656,3.2311887197327196,3.1075799465179443,3.846475219726562,4.124837808609008,3.23118892050626,3.1075801849365234,3.846475219726562,4.124838256835937,0,0,0,0,2152.058823407886,3.2311887197327196,RAMP_DOWN,3
