request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P5_c26_r110,SUSTAINED_P5,97,64000,61952,2048,1,5.450849771499634,5.450849771499634,0.0011789798736572266,5.452032566070557,1766196701.4382753,1766196706.890308,26,0.0,1766196706.889125,[1766196706.8891258],[1]
P5_c26_r111,SUSTAINED_P5,97,64000,61952,2048,1,4.771481275558472,4.771481275558472,0.0371851921081543,4.8086700439453125,1766196702.1197145,1766196706.9283845,26,0.0,1766196706.8911958,[1766196706.8911963],[1]
P5_c26_r108,SUSTAINED_P5,97,64000,61952,2048,1,5.53570294380188,5.53570294380188,0.037630319595336914,5.573340654373169,1766196701.354975,1766196706.9283156,26,0.0,1766196706.890678,[1766196706.8906794],[1]
P5_c26_r113,SUSTAINED_P5,97,64000,61952,2048,1,5.488609075546265,5.488609075546265,0.0015578269958496094,5.490170478820801,1766196702.2021906,1766196707.692361,26,0.0,1766196707.6907997,[1766196707.6908004],[1]
P5_c26_r114,SUSTAINED_P5,97,64000,61952,2048,1,5.446724891662598,5.446724891662598,0.0016391277313232422,5.448368310928345,1766196702.243266,1766196707.6916344,26,0.0,1766196707.689991,[1766196707.6899917],[1]
P5_c26_r115,SUSTAINED_P5,97,64000,61952,2048,1,4.767602205276489,4.767602205276489,0.0010907649993896484,4.768695831298828,1766196702.9237154,1766196707.6924112,26,0.0,1766196707.6913176,[1766196707.6913183],[1]
P5_c26_r112,SUSTAINED_P5,97,64000,61952,2048,1,5.531498908996582,5.531498908996582,0.03697705268859863,5.568481683731079,1766196702.16053,1766196707.7290118,26,0.0,1766196707.692029,[1766196707.69203],[1]
P5_c26_r117,SUSTAINED_P5,97,64000,61952,2048,1,5.483825445175171,5.483825445175171,0.0012047290802001953,5.485034227371216,1766196703.0094955,1766196708.4945297,26,0.0,1766196708.493321,[1766196708.4933221],[1]
P5_c26_r116,SUSTAINED_P5,97,64000,61952,2048,1,5.526986598968506,5.526986598968506,0.0015327930450439453,5.528522968292236,1766196702.967182,1766196708.495705,26,0.0,1766196708.4941685,[1766196708.4941692],[1]
P5_c26_r118,SUSTAINED_P5,97,64000,61952,2048,1,5.444172143936157,5.444172143936157,0.03735494613647461,5.481533765792847,1766196703.050708,1766196708.5322418,26,0.0,1766196708.4948802,[1766196708.494881],[1]
