period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
25,1773276895.7873337,1773276925.7873337,33,10,4,25,3,3,22,33,24,9,0.8333333333333334,9949.466666666667,74.53333333333333,4.6216647028923035,3.069341540336609,11.10440362691879,11.888526561260221,0.9991419991419992,68364,0,0,40.348114013671875,96.87223922374638,256,0.0,0,0,0,0.046359874584056715,0.10056209564208984,10,23
26,1773276925.7873337,1773276955.7873337,31,12,1,12,0,0,12,31,10,21,0.4,3353.5333333333333,26.433333333333334,14.52408218383789,14.52408218383789,14.52408218383789,14.52408218383789,1.0,68455,0,0,36.278170108795166,97.18773875125619,0,0.0,0,0,0,0.030059003829956056,0.09192037582397461,4,27
27,1773276955.7873337,1773276985.7873337,33,10,1,14,0,0,14,33,16,17,0.4666666666666667,3516.9333333333334,32.53333333333333,10.49317216873169,10.49317216873169,10.49317216873169,10.49317216873169,1.0,69749,0,0,26.266348361968994,97.96384896418844,0,0.0,0,0,0,0.051155440947588754,0.09581708908081055,5,28
28,1773276985.7873337,1773277015.7873337,30,13,5,20,3,3,17,30,14,16,0.6666666666666666,13820.033333333333,42.3,8.615958213806152,9.59153127670288,10.183566808700562,10.259015417098999,0.9973749227918468,70348,0,0,98.8926055431366,92.33390654704368,1088,0.0,0,0,0,0.04610151403090533,0.08702278137207031,6,24
29,1773277015.7873337,1773277045.7873337,18,25,14,30,9,9,21,18,9,9,1.0,29479.8,161.93333333333334,9.59809616633824,8.131203413009644,15.169643676280975,15.305382974147797,0.9651752099623516,70547,0,0,248.04370021820068,80.77180618463561,30784,0.0,0,0,0,0.05844185087415907,0.09655451774597168,3,15
30,1773277045.7873337,1773277075.7873337,30,13,7,14,4,4,10,30,22,8,0.4666666666666667,15285.1,67.4,2.865976640156337,2.5709283351898193,4.798289418220519,4.970092988014221,0.9483456652240682,71447,0,0,55.62633991241455,95.6878806269446,23680,4.467445328122096,0,0,0,0.0415418606538039,0.09701704978942871,3,27
31,1773277075.7873337,1773277105.7873337,7,38,12,35,10,9,26,7,3,4,1.1666666666666667,33179.13333333333,240.16666666666666,3.954143524169922,4.103590250015259,6.940615701675415,7.106759080886841,0.9616695607434562,71550,2,0,122.27818536758423,90.9423566394382,38144,0.0,0,0,0,0.054659164868868314,0.09057044982910156,1,6
32,1773277105.7873337,1773277135.7873337,27,18,3,6,2,2,4,27,23,4,0.2,8021.0,24.4,1.67806077003479,0.5662245750427246,3.6934760093688963,3.9714539146423338,0.9986695050558808,74268,0,0,43.80970215797424,96.75483687718709,320,44.06464099884033,0,0,0,0.04232855796813965,0.09968423843383789,5,22
33,1773277135.7873337,1773277165.7873337,29,19,2,11,1,1,10,29,12,17,0.36666666666666664,6237.466666666666,29.366666666666667,14.905385851860046,14.905385851860046,16.061925089359285,16.164728577136994,0.9969199178644764,77317,3,0,69.0585515499115,95.20426725347836,576,0.0,0,0,0,0.40350457338186413,2.9909398555755615,3,26
34,1773277165.7873337,1773277195.7873337,31,17,3,14,1,1,13,31,15,16,0.4666666666666667,6929.433333333333,37.13333333333333,4.933859745661418,4.887749433517456,6.230379581451416,6.34972448348999,0.714197720973206,76129,0,0,56.969555377960205,96.04378087653053,59392,0.0,0,0,0,0.05326005816459656,0.09980559349060059,3,28
35,1773277195.7873337,1773277225.7873337,35,13,4,23,1,1,22,35,26,9,0.7666666666666667,10713.866666666667,88.26666666666667,2.650974214076996,2.79467236995697,4.505723595619202,4.624908947944641,0.9145588528181637,81069,0,0,45.313695430755615,96.85321559508641,27456,11.63419286410014,0,0,0,0.04966774480096225,0.09937167167663574,13,22
36,1773277225.7873337,1773277255.7873337,41,8,1,8,0,0,8,41,14,27,0.26666666666666666,3551.1,21.2,15.449743747711182,15.449743747711182,15.449743747711182,15.449743747711182,0.9987980769230769,80692,1,0,39.45942807197571,97.31568516517171,128,0.0,0,0,0,0.05383110046386719,0.09683036804199219,17,24
37,1773277255.7873337,1773277285.7873337,35,14,2,15,0,0,15,35,9,26,0.5,5053.6,52.766666666666666,38.307069301605225,38.307069301605225,41.00425276756287,41.24400240898132,0.997043918918919,81284,0,0,113.17501735687256,92.30101922742364,448,0.0,0,0,0,0.04173474841647678,0.08327651023864746,16,19
38,1773277285.7873337,1773277315.7873337,42,7,2,8,0,0,8,42,15,27,0.26666666666666666,3766.8,17.833333333333332,43.306625843048096,43.306625843048096,43.78259584903717,43.824904294013976,0.9977337110481587,81385,0,0,109.19036388397217,92.5720840895257,256,0.0,0,0,0,0.04017168680826823,0.09801530838012695,18,24
39,1773277315.7873337,1773277345.7873337,42,7,0,8,0,0,8,42,8,34,0.26666666666666666,0.0,13.533333333333333,0.0,0.0,0.0,0.0,0.0,81526,0,0,0.0,100.0,0,0.0,0,0,0,0.06418007612228394,0.0968320369720459,16,26
40,1773277345.7873337,1773277375.7873337,38,11,1,16,0,0,16,38,12,26,0.5333333333333333,2276.133333333333,25.4,44.573607206344604,44.573607206344604,44.573607206344604,44.573607206344604,0.9962476547842402,82696,0,0,62.345529556274414,95.75880751317861,256,0.0,0,0,0,0.04036090771357218,0.12376570701599121,14,24
41,1773277375.7873337,1773277405.7873337,42,7,0,7,0,0,7,42,11,31,0.23333333333333334,0.0,14.666666666666666,0.0,0.0,0.0,0.0,0.0,81813,0,0,0.0,100.0,0,0.0,0,0,0,0.04669447378678755,0.09862613677978516,15,27
42,1773277405.7873337,1773277435.7873337,43,6,1,12,0,0,12,43,13,30,0.4,2276.133333333333,22.966666666666665,39.34249019622803,39.34249019622803,39.34249019622803,39.34249019622803,1.0,80778,0,0,58.07738995552063,96.04915714588294,0,0.0,0,0,0,0.06337440930880033,0.09689855575561523,16,27
43,1773277435.7873337,1773277465.7873337,38,11,1,12,0,0,12,38,7,31,0.4,1316.1333333333334,30.066666666666666,38.394917011260986,38.394917011260986,38.394917011260986,38.394917011260986,0.9967532467532467,77409,0,0,59.6518189907074,95.94205312988386,128,0.0,0,0,0,0.04546107564653669,0.08768367767333984,12,26
44,1773277465.7873337,1773277495.7873337,36,13,2,16,0,0,16,36,14,22,0.5333333333333333,6105.833333333333,53.96666666666667,45.3499196767807,45.3499196767807,47.92593477964401,48.15491389989853,0.9965047186298497,76321,0,0,104.62501049041748,92.88265234759065,640,0.0,0,0,0,0.03964039257594517,0.08277702331542969,16,20
45,1773277495.7873337,1773277525.7873337,39,10,2,13,0,0,13,39,16,23,0.43333333333333335,3415.8333333333335,19.866666666666667,30.182744026184082,30.182744026184082,32.1420318365097,32.31619075298309,1.0,75431,0,0,74.61710786819458,94.92400626746975,0,0.0,0,0,0,0.04619646072387695,0.0958547592163086,17,22
46,1773277525.7873337,1773277555.7873337,39,10,1,10,0,0,10,39,10,29,0.3333333333333333,2533.633333333333,17.0,32.543153047561646,32.543153047561646,32.543153047561646,32.543153047561646,1.0,76308,0,0,32.72256326675415,97.77397528797592,0,0.0,0,0,0,0.04756884574890137,0.0973062515258789,16,23
47,1773277555.7873337,1773277585.7873337,37,12,2,12,0,0,12,37,10,27,0.4,3672.0666666666666,35.53333333333333,40.326884627342224,40.326884627342224,41.920230615139005,42.06186136960983,0.9988372093023256,78258,0,0,109.06116342544556,92.58087323636424,128,0.0,0,0,0,0.056455397605896,0.0977787971496582,12,25
48,1773277585.7873337,1773277615.7873337,36,13,2,10,0,0,10,36,9,27,0.3333333333333333,6161.533333333334,17.866666666666667,35.46448624134064,35.46448624134064,35.614939177036284,35.628312771320346,1.0,78329,0,0,91.22770142555237,93.79403391662909,0,0.0,0,0,0,0.045442795753479,0.08416247367858887,10,26
49,1773277615.7873337,1773277645.7873337,36,13,2,13,0,0,13,36,13,23,0.43333333333333335,4871.533333333334,46.0,30.203081130981445,30.203081130981445,33.12174532413483,33.381182141304016,1.0,79317,0,0,98.63012218475342,93.2904678785882,0,0.0,0,0,0,0.04511149112994854,0.09935951232910156,12,24
50,1773277645.7873337,1773277675.7873337,36,13,0,11,0,0,11,36,11,25,0.36666666666666664,0.0,23.5,0.0,0.0,0.0,0.0,0.0,79521,0,0,0.0,100.0,0,0.0,0,0,0,0.027317502281882546,0.09171319007873535,8,28
51,1773277675.7873337,1773277705.7873337,39,10,0,14,0,0,14,39,17,22,0.4666666666666667,0.0,14.033333333333333,0.0,0.0,0.0,0.0,0.0,79708,0,0,0.0,100.0,0,0.0,0,0,0,0.05329322814941406,0.09890270233154297,12,27
52,1773277705.7873337,1773277735.7873337,40,9,0,11,0,0,11,40,12,28,0.36666666666666664,0.0,18.566666666666666,0.0,0.0,0.0,0.0,0.0,78810,0,0,0.0,100.0,0,0.0,0,0,0,0.05388067318842961,0.09566664695739746,12,28
53,1773277735.7873337,1773277765.7873337,32,17,0,15,0,0,15,32,7,25,0.5,0.0,30.633333333333333,0.0,0.0,0.0,0.0,0.0,78876,0,0,0.0,100.0,0,0.0,0,0,0,0.042237860815865655,0.08636331558227539,8,24
54,1773277765.7873337,1773277795.7873337,36,13,3,12,1,1,11,36,15,21,0.4,7358.566666666667,32.36666666666667,24.179299751917522,26.108177185058594,27.378876280784606,27.49182731151581,0.9994199535962877,78206,0,0,102.17110443115234,93.04958473257467,128,0.0,0,0,0,0.06428505480289459,0.09990930557250977,13,23
55,1773277795.7873337,1773277825.7873337,39,10,0,8,0,0,8,39,11,28,0.26666666666666666,0.0,20.0,0.0,0.0,0.0,0.0,0.0,78127,0,0,0.0,100.0,0,0.0,0,0,0,0.04962615172068278,0.10063862800598145,11,28
56,1773277825.7873337,1773277855.7873337,37,12,1,13,0,0,13,37,11,26,0.43333333333333335,1330.7666666666667,26.8,31.29070806503296,31.29070806503296,31.29070806503296,31.29070806503296,1.0,78189,0,0,53.850528955459595,96.33669871051296,0,0.0,0,0,0,0.36787130615927954,1.8645529747009277,12,25
