timestamp,user_id,event_type,trace_id,details
1773216174.0212276,User-001,started,trace_0109,"601 requests, 47,714 initial tokens"
1773216174.0716345,User-002,started,trace_0466,"14 requests, 104,290 initial tokens"
1773216174.1217916,User-003,started,trace_0485,"137 requests, 69,944 initial tokens"
1773216174.1719291,User-004,started,trace_0392,"21 requests, 12,073 initial tokens"
1773216174.222135,User-005,started,trace_0009,"33 requests, 43,698 initial tokens"
1773216174.272372,User-006,started,trace_0288,"116 requests, 24,567 initial tokens"
1773216174.3225303,User-007,started,trace_0504,"69 requests, 124,901 initial tokens"
1773216174.37267,User-008,started,trace_0589,"54 requests, 12,249 initial tokens"
1773216174.4228017,User-009,started,trace_0172,"466 requests, 89,509 initial tokens"
1773216174.472956,User-010,started,trace_0242,"48 requests, 15,422 initial tokens"
