Old Traces Cache Hit Rates (callanjfox traces)
==================================================
Trace             Reqs  Same-Model%  Cumulative%
trace_0413          33        93.9%        93.9%
trace_0414          58        98.2%        98.2%
trace_0415          26        97.7%        97.7%
trace_0416          10        72.8%        79.7%
trace_0417          51        52.6%        94.9%
trace_0418           6        52.9%        89.7%
trace_0419         142        83.7%        94.2%
trace_0420          28        90.6%        92.0%
trace_0421          68        60.2%        93.6%
trace_0422           6        63.3%        89.7%
trace_0423          84        98.9%        98.9%
trace_0424         136        96.7%        98.3%
trace_0425         134        99.5%        99.5%
trace_0426          18        82.8%        83.1%
trace_0427          98        96.2%        96.2%
trace_0428         182        51.4%        93.0%
trace_0429         117        98.4%        98.4%
trace_0430           6        63.3%        89.5%
trace_0431          16        99.8%        99.8%
trace_0432         308        85.2%        99.0%
trace_0433           6        91.2%        91.2%
trace_0434           6        63.3%        89.5%
trace_0435           6        63.9%        89.5%
trace_0436          64        96.3%        96.3%
trace_0437          16        99.9%        99.9%
trace_0438         114        99.6%        99.6%
trace_0439         192        97.1%        97.1%
trace_0440          42        95.4%        95.4%
trace_0441          12        99.8%        99.8%
trace_0442          72        94.5%        94.5%
trace_0443          62        25.0%        94.7%
trace_0444          30        92.3%        92.3%
trace_0445         128        97.8%        97.8%
trace_0446          20        86.9%        87.7%
trace_0447          24        89.8%        89.8%
trace_0448           8        85.1%        85.1%
trace_0449          46        97.7%        97.7%
trace_0450          84        98.8%        98.8%
trace_0451          30        96.6%        96.6%
trace_0452         146        99.2%        99.2%
trace_0453          14        91.7%        91.7%
trace_0454          20        88.7%        88.7%
trace_0455         142        96.5%        96.7%
trace_0456         272        97.5%        97.5%
trace_0457          40        99.7%        99.7%
trace_0458          48        94.3%        94.3%
trace_0459          80        91.4%        91.5%
trace_0460          16        94.0%        94.0%
trace_0461          45        97.6%        97.6%
trace_0462          62        89.6%        89.8%
trace_0463          16       100.0%       100.0%
trace_0464         132        95.0%        95.0%
trace_0465          49        99.8%        99.8%
trace_0466          46        89.6%        89.6%
trace_0467          64        97.7%        97.7%
trace_0468          70        96.5%        96.5%
trace_0469         230        96.9%        96.9%
trace_0470         154        61.4%        96.8%
trace_0471          52        96.0%        96.0%
trace_0472           6        84.9%        84.9%
trace_0473          70        99.7%        99.7%
trace_0474          60        99.8%        99.8%
trace_0475          20        90.8%        90.8%
trace_0476          72        91.5%        91.5%
trace_0477         200        98.3%        98.4%
trace_0478           9        98.9%        98.9%
trace_0479          18        98.1%        98.1%
trace_0480          59        96.8%        96.8%
trace_0481          82        95.3%        95.3%
trace_0482         366        97.4%        97.8%
trace_0483         176        96.3%        96.5%
trace_0484           6        93.8%        93.8%
trace_0485         188        96.9%        98.0%
trace_0486          38        99.9%        99.9%
trace_0487          74        98.6%        98.6%
trace_0488          16        94.0%        94.0%
trace_0489         398        99.5%        99.5%
trace_0490         162        99.6%        99.6%
trace_0491          12        98.9%        98.9%
trace_0492          30        92.3%        92.3%
trace_0493          52        95.2%        95.2%
trace_0494          16        93.0%        93.0%
trace_0495          72        94.5%        94.5%
trace_0496          62        98.3%        98.3%
trace_0497          46        97.7%        97.7%
trace_0498          22        95.0%        95.0%
trace_0499           6        53.0%        89.6%
trace_0500         152        98.1%        98.6%
trace_0501           6        69.8%        96.9%
trace_0502           6        63.9%        89.5%
trace_0503         198        98.1%        98.1%
trace_0504          28        90.8%        90.8%
trace_0505          51        52.6%        94.9%
trace_0506          14        99.7%        99.7%
trace_0507           5        77.6%        77.6%
trace_0508          14        90.0%        90.0%
trace_0509          14        98.1%        98.1%
trace_0510           6        64.2%        89.7%
trace_0511         147        99.3%        99.3%
trace_0512           8        80.8%        80.8%
trace_0513         137        98.8%        98.8%
trace_0514           6        52.9%        89.7%
trace_0515          10        89.0%        89.0%
trace_0516           6        82.1%        82.1%
trace_0517          66        82.3%        96.3%
trace_0518          26        86.0%        86.0%
trace_0519           6        98.6%        98.6%
trace_0520         371        80.1%        96.8%
trace_0521          16        92.0%        92.0%
trace_0522          87        98.4%        98.4%
--------------------------------------------------
AVERAGE                       96.6%        98.2%
