request_id,phase_id,cache_hit_rate,context_size,cached_tokens,unique_tokens,output_tokens,ttft,ttlt,generation_time,total_time,launch_time,finish_time,concurrency_level,itl,prefill_complete_time,token_timestamps,tokens_per_chunk
P1_c2_r21,SUSTAINED_P1,95,64000,60672,3328,1,0.5493829250335693,0.5493829250335693,0.0005199909210205078,0.549907922744751,1766199314.1413205,1766199314.6912284,2,0.0,1766199314.6907034,[1766199314.6907048],[1]
P1_c2_r22,SUSTAINED_P1,95,64000,60672,3328,1,0.5432054996490479,0.5432054996490479,0.0005488395690917969,0.5437591075897217,1766199314.4395647,1766199314.9833238,2,0.0,1766199314.9827702,[1766199314.9827716],[1]
P1_c2_r23,SUSTAINED_P1,95,64000,60672,3328,1,0.5442829132080078,0.5442829132080078,0.0005571842193603516,0.544844388961792,1766199314.7324927,1766199315.277337,2,0.0,1766199315.2767756,[1766199315.276777],[1]
P1_c2_r24,SUSTAINED_P1,95,64000,60672,3328,1,0.5485861301422119,0.5485861301422119,0.0005757808685302734,0.5491666793823242,1766199315.0257738,1766199315.5749404,2,0.0,1766199315.57436,[1766199315.5743613],[1]
P1_c2_r25,SUSTAINED_P1,95,64000,60672,3328,1,0.5514402389526367,0.5514402389526367,0.0005819797515869141,0.5520262718200684,1766199315.3194687,1766199315.871495,2,0.0,1766199315.870909,[1766199315.8709102],[1]
P1_c2_r26,SUSTAINED_P1,95,64000,60672,3328,1,0.5491509437561035,0.5491509437561035,0.0005135536193847656,0.5496692657470703,1766199315.6180027,1766199316.167672,2,0.0,1766199316.1671536,[1766199316.1671553],[1]
P1_c2_r27,SUSTAINED_P1,95,64000,60672,3328,1,0.5482051372528076,0.5482051372528076,0.0005609989166259766,0.5487701892852783,1766199315.9139106,1766199316.4626808,2,0.0,1766199316.4621158,[1766199316.4621167],[1]
P1_c2_r28,SUSTAINED_P1,95,64000,60672,3328,1,0.547687292098999,0.547687292098999,0.0005421638488769531,0.5482335090637207,1766199316.2087634,1766199316.7569969,2,0.0,1766199316.7564507,[1766199316.7564514],[1]
P1_c2_r29,SUSTAINED_P1,95,64000,60672,3328,1,0.5492522716522217,0.5492522716522217,0.0005960464477539062,0.5498521327972412,1766199316.5046241,1766199317.0544763,2,0.0,1766199317.0538764,[1766199317.0538774],[1]
P1_c2_r30,SUSTAINED_P1,95,64000,60672,3328,1,0.5522496700286865,0.5522496700286865,0.0005791187286376953,0.552833080291748,1766199316.797922,1766199317.350755,2,0.0,1766199317.3501716,[1766199317.3501725],[1]
P1_c2_r31,SUSTAINED_P1,95,64000,60672,3328,1,0.5807347297668457,0.5807347297668457,0.0005500316619873047,0.581289529800415,1766199317.097471,1766199317.6787605,2,0.0,1766199317.6782057,[1766199317.6782072],[1]
P1_c2_r32,SUSTAINED_P1,95,64000,60672,3328,1,0.5783605575561523,0.5783605575561523,0.0005850791931152344,0.5789499282836914,1766199317.393988,1766199317.9729378,2,0.0,1766199317.9723485,[1766199317.9723496],[1]
P1_c2_r33,SUSTAINED_P1,95,64000,60672,3328,1,0.5451877117156982,0.5451877117156982,0.0005300045013427734,0.5457220077514648,1766199317.721081,1766199318.266803,2,0.0,1766199318.2662687,[1766199318.2662702],[1]
P1_c2_r34,SUSTAINED_P1,95,64000,60672,3328,1,0.5475325584411621,0.5475325584411621,0.0005471706390380859,0.548084020614624,1766199318.0153544,1766199318.5634384,2,0.0,1766199318.562887,[1766199318.562888],[1]
P1_c2_r35,SUSTAINED_P1,95,64000,60672,3328,1,0.5496695041656494,0.5496695041656494,0.0005929470062255859,0.5502667427062988,1766199318.3084943,1766199318.858761,2,0.0,1766199318.8581638,[1766199318.8581648],[1]
