period_number,context_size,cache_hit_rate,working_set_size,start_time,end_time,duration,concurrency_level,num_requests_launched,num_requests_completed,total_input_tokens,total_output_tokens,input_tokens_per_sec,output_tokens_per_sec,avg_ttft,median_ttft,p95_ttft,p99_ttft,avg_ttlt,median_ttlt,p95_ttlt,p99_ttlt,avg_itl,median_itl,p95_itl,p99_itl,avg_output_tokens_per_request,measured_ttft,decision,next_concurrency
12,64000,96,2176000,1773169601.4984412,1773169637.010762,35.51081681251526,23,160,137,8768000,137,246910.6820688464,3.8579794073257245,4.430361652026211,4.628561496734619,5.503053283691406,5.716087617874143,4.430361801690429,4.628561735153198,5.503053474426269,5.716087856292722,0,0,0,0,1093.7136855086858,4.430361652026211,RAMP_UP,25
13,64000,96,2560000,1773169637.0107803,1773169674.1585827,37.146464347839355,25,115,91,5824000,91,156784.77352417947,2.449762086315304,7.187609122349666,6.610745906829834,12.8932945728302,12.975731539726254,7.187609276928744,6.610746383666992,12.8932945728302,12.975731563568113,0,0,0,0,1144.7577335863766,7.187609122349666,RAMP_DOWN,23
14,64000,96,2560000,1773169674.1586008,1773169708.4945483,34.334816694259644,23,157,134,8576000,134,249775.61628962477,3.9027440045253874,4.539951048680206,4.908905982971191,5.548373079299926,5.614812567234039,4.539951224825275,4.908906102180481,5.5483734011650085,5.614812726974487,0,0,0,0,1216.1830142267595,4.539951048680206,RAMP_UP,25
15,64000,96,2944000,1773169708.4945605,1773169744.8795338,36.38362956047058,25,138,113,7232000,113,198770.71329511586,3.105792395236185,5.593110687964786,5.756441593170166,8.353901624679564,8.779291400909424,5.5931108609764975,5.756441831588745,8.353901720046995,8.779291610717774,0,0,0,0,1098.1711846703347,5.593110687964786,RAMP_DOWN,23
16,64000,96,2944000,1773169744.879552,1773169779.1355703,34.25370979309082,23,126,103,6592000,103,192446.30843838252,3.006973569349727,5.908939234261374,5.473963737487793,9.425641989707946,9.831696987152101,5.908939412496622,5.473963737487793,9.425642228126526,9.831697220802308,0,0,0,0,1363.4083172911899,5.908939234261374,RAMP_DOWN,21
17,64000,96,2944000,1773169779.1356087,1773169813.2180421,34.08120393753052,21,143,122,7808000,122,229099.8878534852,3.5796857477107062,4.553137462647235,4.716728448867798,6.020137155055999,6.227989599704742,4.553137646346796,4.716728568077087,6.020137155055999,6.227989838123321,0,0,0,0,1237.1446835497197,4.553137462647235,RAMP_UP,23
18,64000,96,3328000,1773169813.2180555,1773169848.8855453,35.666308879852295,23,123,100,6400000,100,179441.0523825,2.803766443476562,5.444093842506408,5.841659069061279,7.988071072101593,8.104550306797028,5.4440940117836,5.841659307479858,7.988071084022522,8.104550545215607,0,0,0,0,1341.7957786899851,5.444093842506408,RAMP_DOWN,21
19,64000,96,3328000,1773169848.8855565,1773169883.9778988,35.090943813323975,21,145,124,7936000,124,226155.21663417653,3.533675259909008,4.4240863438575495,4.4588305950164795,5.5208626866340635,5.687557935714722,4.424086528439676,4.458830833435059,5.520862889289856,5.687558174133301,0,0,0,0,1273.113421049161,4.4240863438575495,RAMP_UP,23
20,64000,96,3712000,1773169883.9779131,1773169918.2133415,34.2339231967926,23,136,114,7296000,114,213121.93633371143,3.330030255214241,5.166468352602239,5.227347493171692,9.22309901714325,9.450155737400054,5.166468532461869,5.227347493171692,9.223099172115326,9.45015594482422,0,0,0,0,1121.4366994094667,5.166468352602239,RAMP_DOWN,21
21,64000,96,3712000,1773169918.2133594,1773169953.2261167,35.011359453201294,21,128,107,6848000,107,195593.66179863797,3.056150965603718,4.837203556132094,4.824978828430176,6.309492659568786,7.412272777557373,4.8372037366171865,4.824979066848755,6.309492897987365,7.412273015975952,0,0,0,0,1285.2730010492298,4.837203556132094,RAMP_UP,23
22,64000,96,4096000,1773169953.2261302,1773169987.3697133,34.142276763916016,23,148,127,8128000,127,238062.62412441833,3.7197285019440365,4.807473188310158,4.832992076873779,6.577905368804931,7.25796754360199,4.807473364777453,4.832992315292358,6.57790560722351,7.257967782020569,0,0,0,0,1277.1629396114615,4.807473188310158,RAMP_UP,25
23,64000,96,4096000,1773169987.3697314,1773170023.9413824,36.57023620605469,25,115,90,5760000,90,157505.1352565876,2.461017738384181,7.023629432254367,7.512205362319946,10.077899694442749,10.223931498527527,7.023629607094659,7.512205481529236,10.077899825572967,10.223931736946106,0,0,0,0,1389.1380811535398,7.023629432254367,RAMP_DOWN,23
24,64000,96,4096000,1773170023.9413989,1773170058.8908603,34.94806408882141,23,154,131,8384000,131,239898.83899410986,3.748419359282966,4.690149687628709,4.871417284011841,6.2270002365112305,6.385788273811339,4.690149855067712,4.871417284011841,6.22700035572052,6.385788440704344,0,0,0,0,1107.308947478064,4.690149687628709,RAMP_UP,25
25,64000,96,4480000,1773170058.8908753,1773170097.6219532,38.729740142822266,25,137,112,7168000,112,185077.41011343803,2.891834533022469,5.846962298665728,6.030078649520874,9.14802577495575,9.402722527980805,5.846962483865874,6.030078768730164,9.148026037216185,9.40272274017334,0,0,0,0,1162.2563183252357,5.846962298665728,RAMP_DOWN,23
26,64000,96,4480000,1773170097.62197,1773170132.9708662,35.34702396392822,23,146,125,8000000,125,226327.39910901783,3.5363656110784034,4.950381769180298,4.936718702316284,6.460610580444336,6.623900213241577,4.950381946563721,4.936718702316284,6.460610628128052,6.623900270462037,0,0,0,0,1225.1326298067854,4.950381769180298,RAMP_UP,25
27,64000,96,4864000,1773170132.9708862,1773170168.8721209,35.89994478225708,25,136,111,7104000,111,197883.31272060974,3.0919267612595274,5.447056860537143,5.971667289733887,6.848142385482788,7.040609359741211,5.447057036666183,5.971667289733887,6.848142504692078,7.040609359741211,0,0,0,0,1242.4606231005885,5.447056860537143,RAMP_DOWN,23
28,64000,96,4864000,1773170168.8721402,1773170204.1270492,35.25358819961548,23,130,107,6848000,107,194249.73030333102,3.0351520359895474,5.63952415903038,6.1684043407440186,7.614900684356688,8.137025003433228,5.639524364025793,6.168404579162598,7.614900755882262,8.137025017738342,0,0,0,0,1371.208879298585,5.63952415903038,RAMP_DOWN,21
29,64000,96,4864000,1773170204.1270673,1773170238.0934715,33.96515417098999,21,149,128,8192000,128,241188.3649566024,3.7685682024469127,4.370522456243634,4.368372082710266,5.706354784965515,5.895870778560639,4.37052265740931,4.368372321128845,5.706355023384094,5.895871016979218,0,0,0,0,1209.6164817661042,4.370522456243634,RAMP_UP,23
30,64000,96,5248000,1773170238.0934834,1773170272.8355646,34.74076199531555,23,119,96,6144000,96,176852.7702653286,2.763324535395759,6.190287843346596,5.739610433578491,9.703071534633636,9.950700616836547,6.190288017193477,5.739610433578491,9.70307171344757,9.950700867176055,0,0,0,0,1119.153785174962,6.190287843346596,RAMP_DOWN,21
31,64000,96,5248000,1773170272.8355944,1773170307.1162655,34.27918529510498,21,132,113,7232000,113,210973.50878501535,3.296461074765865,5.008112533957557,4.6441614627838135,7.147468996047974,7.320453004837035,5.008112833563206,4.6441614627838135,7.147469091415405,7.320453214645386,0,0,0,0,1293.7713115182703,5.008112533957557,RAMP_DOWN,19
32,64000,96,5632000,1773170307.1162848,1773170341.9167783,34.79915690422058,19,122,103,6592000,103,189429.8766531466,2.9598418227054157,4.626943183176726,4.786083698272705,6.7224099874496455,6.988582682609558,4.626943384559409,4.786083698272705,6.722410225868225,6.988582921028137,0,0,0,0,1261.3573172714396,4.626943183176726,RAMP_UP,21
33,64000,96,5632000,1773170341.9167962,1773170377.1935062,35.275503635406494,21,131,110,7040000,110,199571.9202980807,3.1183112546575105,4.847301348772916,4.813085079193115,6.9540586948394765,8.001835415363312,4.847301517833363,4.813085198402405,6.954058933258056,8.00183563232422,0,0,0,0,1363.0838226556675,4.847301348772916,RAMP_UP,23
34,64000,96,5632000,1773170377.1935196,1773170411.6640298,34.46933841705322,23,140,117,7488000,117,217236.5454016204,3.3943210219003186,5.240615679667546,5.179609298706055,7.7747411727905265,8.379731645584107,5.2406158610286875,5.179609537124634,7.77474136352539,8.379731884002686,0,0,0,0,1271.7539768729112,5.240615679667546,RAMP_DOWN,21
35,64000,96,6016000,1773170411.6640434,1773170445.9267235,34.261369466781616,21,108,88,5632000,88,164383.38827817581,2.5684904418464973,5.782380453564904,6.035727381706238,9.183303380012505,9.924959938526152,5.7823806432160465,6.035727381706238,9.18330377340316,9.92496035337448,0,0,0,0,1386.2008866271624,5.782380453564904,RAMP_DOWN,19
36,64000,96,6016000,1773170445.926738,1773170480.0711787,34.14323878288269,19,140,121,7744000,121,226809.18026682234,3.5438934416690993,4.227241703301422,4.061860799789429,6.120569944381714,6.169700813293457,4.227241898371169,4.061861038208008,6.120570182800293,6.169700813293457,0,0,0,0,1324.174182603623,4.227241703301422,RAMP_UP,23
37,64000,96,6400000,1773170480.071192,1773170517.344277,37.27190542221069,23,133,110,7040000,110,188882.2135668115,2.95128458698143,5.056085328622298,5.385934472084045,7.286438238620758,7.922737302780151,5.056085493347862,5.3859347105026245,7.286438369750976,7.922737302780151,0,0,0,0,1204.292675847804,5.056085328622298,RAMP_DOWN,21
