period_number,start_time,end_time,active_users,idle_users,users_with_requests,requests_completed,requests_launched,requests_completed_new,requests_completed_prior,requests_in_progress,requests_in_progress_new,requests_in_progress_prior,requests_per_second,input_tokens_per_second,output_tokens_per_second,ttft_avg,ttft_p50,ttft_p95,ttft_p99,avg_cache_hit_rate,working_set_blocks,users_added,users_completed,total_request_time,idle_time_pct,new_tokens_ingested,ttft_headroom_pct,rate_limited_users,rate_limit_events,admission_blocked_events,dispatch_delay_avg,dispatch_delay_max,in_flight_prefilling,in_flight_decoding
15,1773225314.1650817,1773225344.1650817,17,37,23,51,41,41,10,17,15,2,1.7,59370.36666666667,338.03333333333336,0.5865625426882789,0.4292110204696655,1.292845511436462,1.7238200545310973,0.821898597626753,52067,3,0,214.34834790229797,86.76862049985814,1267968,94.13437457311721,0,0,0,0.050799893481390815,0.1551964282989502,0,17
16,1773225344.1650817,1773225374.1650817,17,39,20,46,33,32,14,17,14,3,1.5333333333333334,51890.23333333333,327.56666666666666,0.8690807747118401,0.7073659896850586,2.1180901050567624,2.344272546768188,0.777014520176052,55392,2,0,207.90736889839172,87.62456137509574,1387776,91.3091922528816,0,0,0,0.04909184638490068,0.10157155990600586,0,17
17,1773225374.1650817,1773225404.1650817,32,26,18,39,23,23,16,32,30,2,1.3,30190.433333333334,226.06666666666666,0.7130314889161483,0.6302778720855713,1.827619004249572,2.2056918859481818,0.7763948801357754,53699,2,0,147.72121787071228,91.51027483501653,809472,92.86968511083853,0,0,0,0.04955796475680369,0.10221433639526367,1,31
18,1773225404.1650817,1773225434.1650817,14,45,23,58,31,31,27,14,9,5,1.9333333333333333,46458.0,455.4,0.7476242631673813,0.47113072872161865,2.03637615442276,2.5058968663215646,0.8364664245989797,57321,1,0,284.9194302558899,83.90285704768984,910848,92.52375736832619,0,0,0,0.039697510004043576,0.09858369827270508,1,13
19,1773225434.1650817,1773225464.1650817,17,44,27,46,36,35,11,17,14,3,1.5333333333333334,52538.433333333334,314.9,0.752368130181965,0.4898672103881836,2.020123744010925,2.1004254722595217,0.794059084074932,59484,2,0,308.2368426322937,83.15645668675991,1297408,92.47631869818035,0,0,0,0.04451665878295898,0.10089874267578125,1,16
20,1773225464.1650817,1773225494.1650817,31,33,23,47,31,31,16,31,29,2,1.5666666666666667,39013.066666666666,246.36666666666667,0.7236791810681743,0.43100881576538086,1.9505534172058105,2.3751608848571775,0.8498248686514887,62188,3,0,217.78576111793518,88.65699160844088,702464,92.76320818931826,0,0,0,0.04610430002212525,0.1521291732788086,10,21
21,1773225494.1650817,1773225524.1650817,19,48,31,51,26,26,25,19,13,6,1.7,49926.3,365.9,2.96426386582224,3.2674825191497803,5.468692481517791,6.274293916225434,0.7706123845364352,65698,3,0,510.23586535453796,74.61513107688866,1373184,70.3573613417776,0,0,0,0.04844401432917668,0.1508502960205078,1,18
22,1773225524.1650817,1773225554.1650817,30,40,28,50,34,34,16,30,27,3,1.6666666666666667,41884.3,315.43333333333334,0.9877516950879778,0.7644345760345459,2.1869750022888175,2.903362069129941,0.7576081969720141,67819,3,0,295.1063120365143,85.94731847445169,1217280,90.12248304912023,0,0,0,0.045429405618886476,0.15248751640319824,5,25
23,1773225554.1650817,1773225584.1650817,19,54,27,50,26,26,24,19,13,6,1.6666666666666667,38443.166666666664,235.36666666666667,2.805993704960264,2.581376552581787,7.4595849990844725,7.6791498184204094,0.7776852160390981,70807,3,0,502.8656220436096,77.03809945006348,1024768,71.94006295039736,0,0,0,0.05652416669405424,0.15156126022338867,1,18
24,1773225584.1650817,1773225614.1650817,44,30,12,22,11,11,11,44,36,8,0.7333333333333333,17218.033333333333,83.63333333333334,4.567509313424428,4.644574046134949,7.9816013813018785,8.668863039016724,0.8097954122752635,68986,1,0,255.19396567344666,88.50477632101592,392704,54.324906865755715,0,0,0,0.052643612027168274,0.10122227668762207,2,42
25,1773225614.1650817,1773225644.1650817,37,38,11,40,12,12,28,37,21,16,1.3333333333333333,18422.0,208.76666666666668,3.029392878214518,3.243513822555542,4.44464544057846,4.658566768169403,0.8308993973110802,71981,1,0,168.95982193946838,92.49067458046807,373504,69.70607121785483,0,0,0,0.042421181996663414,0.09989094734191895,2,35
26,1773225644.1650817,1773225674.1650817,26,51,27,57,31,31,26,26,15,11,1.9,50689.333333333336,333.26666666666665,1.0426106032203226,0.6501191854476929,2.3960943818092346,3.2869091939926167,0.8339791105121294,72646,2,0,294.9321298599243,87.2323753307392,1009152,89.57389396779676,0,0,0,0.051366660905920944,0.10258126258850098,2,24
27,1773225674.1650817,1773225704.1650817,44,34,17,30,17,17,13,44,31,13,1.0,33286.333333333336,137.43333333333334,1.9797645242590654,2.1879801750183105,3.3996678590774536,3.416893219947815,0.7724270599551138,73538,1,0,215.14968609809875,90.80556897016672,908544,80.20235475740934,0,0,0,0.04584336777528127,0.1001138687133789,0,44
28,1773225704.1650817,1773225734.1650817,47,33,7,39,8,8,31,47,34,13,1.3,10000.366666666667,157.13333333333333,1.6925185918807983,0.8249785900115967,4.863953363895415,5.689185669422149,0.8140478223740393,74753,2,0,75.04661083221436,96.87305788199106,222976,83.07481408119202,0,0,0,0.047773923192705424,0.10524773597717285,5,42
29,1773225734.1650817,1773225764.1650817,50,33,16,44,13,13,31,50,34,16,1.4666666666666666,15354.4,230.06666666666666,1.5605207190794104,1.062544822692871,4.202308702468872,4.290630540847778,0.739741271386841,76323,3,0,157.55057883262634,93.672667516762,478976,84.3947928092059,0,0,0,0.05319313292807721,0.15150880813598633,2,48
30,1773225764.1650817,1773225794.1650817,54,32,11,42,10,10,32,54,36,18,1.4,14836.666666666666,176.93333333333334,1.3204327424367268,0.6706991195678711,3.9889335274696327,5.465263931751253,0.874370413009066,79025,3,0,127.54502415657043,95.05639441253602,223488,86.79567257563272,0,0,0,0.05503869575002919,0.15172386169433594,7,47
